category,node,latency_ms,total_tokens,reasoning_latency_ms,status,error,retries,model,role_key,node_name,input_size_char,memory_context_used,evidence_count,trend_signal_count,fallback,fallback_indicators,memory_write_count,memory_skipped_count,memory_retrieval_count,memory_retrieval_hits_success,memory_retrieval_hits_failure,memory_record_count_success,memory_record_count_failure,memory_record_count_total,memory_backend,memory_faiss_error,memory_max_record_count,memory_peak_record_count,memory_remaining_capacity,memory_limit_reached,memory_limit_reached_count,memory_pruned_count,faiss_fallback_count,faiss_recovery_count,faiss_fallback_trace,adapter_names,source_names,adapter_enabled,adapter_fallback,adapter_fallback_reason,adapter_fetch_latency_ms,adapter_source_type,adapter_confidence
balsamic_vinegar,planner,4941.646575927734,800,3517.9759000020567,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,retrieval_sources,0.8596999978180975,0,0,success,,0,tool_runtime,retrieval_sources,retrieval_sources,0,False,0,0,False,,0,0,0,0,0,324,3,327,json_fallback,,500,327,173,False,0,0,0,0,[],LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True;True,False;False,;,0.840600005176384,local_dataset;mock,0.75;0.35
balsamic_vinegar,analysis_audience,6717.573881149292,1127,0.0,success,,0,deepseek-chat,audience,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_painpoint,6738.478899002075,1195,0.0,success,,0,deepseek-chat,painpoint,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analysis_dopamine,1994.3556785583496,255,0.0,success,,0,deepseek-chat,dopamine,,0,False,0,0,False,,0,0,0,0,0,324,3,327,json_fallback,,500,327,173,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,cognitive_synthesis,6472.628355026245,2448,3317.7397000035853,success,,0,deepseek-chat,synthesis,cognitive_synthesis,3025,False,5,2,False,,0,0,0,0,0,324,3,327,json_fallback,,500,327,173,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,strategy,12939.8672580719,2406,4853.513299996848,success,,0,deepseek-chat,strategy,strategy,2460,True,4,2,False,,0,0,1,2,2,324,3,327,faiss,,500,327,173,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,storyboard,13570.276021957397,3232,5224.539100003312,success,,0,deepseek-chat,storyboard,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
balsamic_vinegar,analytics_memory,0.0,0,0,success,,0,memory_engine,analytics_memory,analytics_memory,0,False,0,0,False,,1,0,1,2,2,325,3,328,faiss,,500,328,172,False,0,0,0,0,[],,,,,,0,,
printer,planner,4467.383146286011,757,3428.152200001932,success,,0,deepseek-chat,planner,,0,False,0,0,False,,0,0,0,0,0,0,0,0,,,0,0,0,False,0,0,0,0,[],,,,,,0,,
